Datafeed Field_ID,Factor Name,Description,Data Level,Coverage,Units,Typical Data Sources,Pillar Tags,Thematic Tags,MSCI Model Tags,Data Type,Record Type,Datatype in snowflake,Created Date,Last Updated Date,Asset Id,Dataset,Data Category,Package,Snowflake View
FUND_CT_SUST_AG_MAX_REV,Fund Weighted Average Exposure to Sustainable Agriculture Revenue (%),Fund exposure to Sustainable Agriculture is the weighted average of each issuer's percent of revenue generated from agricultural goods produced using certified sustainable or organic practices.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,5240ac49-e6f4-4b79-9a8d-fb62164eb868,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG07_MISALIGN_PCT,Fund SDG 07 Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Misaligned with SDG 07 (Affordable and Clean Energy) based on the nature of their product and services (e.g. fossil fuel based energy generation and related products) and their operational alignment to the goal (e.g. locked-in fossil fuel servers) and their involvement in controversies (e.g. controversies related to energy and climate change, restricted access, predatory practices, and product and service quality/safety by utilities).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,cba41f6b-8853-45df-9303-01f85d054ecb,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG02_STRONG_ALIGN_PCT,Fund SDG 02 Strongly Aligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 02 (Zero Hunger) based on the nature of their product and services (e.g. basic nutrition and sustainable agriculture) and their operational alignment to the goal (e.g. resource efficiency in operations and supply chain) and their involvement in controversies (e.g. controversies related to product quality and production practices).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,072bf351-a157-4b33-9758-1b85ae317c63,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG01_ANY_ALIGN_PCT,Fund SDG 01 Any Alignment (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned or Strongly Aligned with SDG 01 (No Poverty) based on the nature of their product and services (e.g. social impact revenue) and their operational alignment to the goal (e.g. workforce and philanthropic policies and practices) and their involvement in controversies (e.g. controversies related to employment practices, human rights, or impact on communities or customers).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,16fe1fa9-2f1d-404a-8427-2a440765a652,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG07_ALIGN_PCT,Fund SDG 07 Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 07 (Affordable and Clean Energy) based on the nature of their product and services (e.g. alternative energy) and their operational alignment to the goal (e.g. decarbonization targets, performance track record) and their involvement in controversies (e.g. controversies related to energy and climate change, restricted access, predatory practices, and product and service quality/safety by utilities).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,c2e72a42-5a4c-41e7-bb55-ff2fd70792e2,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG04_STRONG_MISALIGN_PCT,Fund SDG 04 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 04 (Quality Education) based on the nature of their product and services and their operational alignment to the goal (e.g. controversies related to limiting access to education, use of child or forced labor).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,4465da40-d736-4869-a5b8-ced7bb4c3d3c,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_CT_CC_TOTAL_MAX_REV,Fund Revenue Exposure to Climate Change Opportunities (%),"A fund’s exposure to Climate Change is the fund weighted average of each company’s percent of revenue generated by Climate Change goods and services. Additionally, Climate Change revenue from companies with negative externalities is excluded. Negative externalities refer to very severe and severe ESG controversies, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,6dbb0253-cfb0-41a0-8f8d-7671c99966e1,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG10_STRONG_MISALIGN_PCT,Fund SDG 10 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 10 (Reduced Inequalities) based on the nature of their product and services (e.g. predatory lending) and their operational alignment to the goal (e.g. negative long-term pay performance vs. peers) and their involvement in controversies (e.g. controversies related to restricted access to products and services, discrimination, or violation of labor or human rights).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,8d79fd83-e3da-4204-8140-23313e1f9c28,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SOCIAL_IMPACT_PCT,Fund Revenue Exposure to Social Impact (%),"A fund’s exposure to Social Impact is the portfolio weighted average of each company’s percent of revenue generated by Social Impact goods and services. Additionally, Social Impact revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,77240acb-aa3d-4443-8d1b-7deb921f0994,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG17_ANY_MISALIGN_PCT,Fund SDG 17 Any Misalignment (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 17 (Partnerships for the Goals) based on their operational alignment to the goal (e.g. tax gap greater than 20%) and their involvement in controversies (e.g. controversies related to human rights abuses or business ethics misconduct).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,8e671321-a908-4764-ba14-ced8ee382f66,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG10_ACHIEVE_SIGNAL,Fund SDG 10 Achievement Signal,The fund's level of alignment in the achievement of SDG 10 (Reduced Inequalities) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not Aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,3913d89a-7061-436e-b4b2-03c6803eb065,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG10_NEUTRAL_PCT,Fund SDG 10 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 10 (Reduced Inequalities) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,5798751d-dde0-464a-8ce9-7a27fb4920f6,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SUST_WATER_INVOLV_PCT,Fund Sustainable Water Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from sustainable water goods and services. Additionally, sustainable water revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,3b791fae-3577-4f29-9e63-a644f42c86c3,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG02_NEUTRAL_PCT,Fund SDG 02 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 02 (Zero Hunger) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,dd6aed57-f249-4488-899f-19a70822eb4a,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG13_MISALIGN_PCT,Fund SDG 13 Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned with SDG 13 (Climate Action) based on the nature of their product and services   (e.g. fossil fuels) and their operational alignment to the goal (e.g. locked-in fossil fuel reserves) and their involvement in controversies (e.g. controversies related to climate change).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,06b123da-202c-4478-96c2-11efca267380,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG13_STRONG_ALIGN_PCT,Fund SDG 13 Strongly Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 13 (Climate Action) based on the nature of their product and services (e.g. alternative energy) and their operational alignment to the goal (e.g. energy and carbon reduction targets, initiatives and performance track record) and their involvement in controversies (e.g. controversies related to climate change).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,8847d3ce-c473-46c7-bde9-2147757ad683,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG13_STRONG_MISALIGN_PCT,Fund SDG 13 Strongly Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 13 (Climate Action) based on the nature of their product and services (e.g. fossil fuels) and their operational alignment to the goal (e.g. locked-in fossil fuel reserves) and their involvement in controversies (e.g. controversies related to climate change).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,0591fdf0-443a-4922-bbfa-041047193476,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG02_STRONG_MISALIGN_PCT,Fund SDG 02 Strongly Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 02 (Zero Hunger) based on the nature of their product and services and their operational alignment to the goal (e.g. controversies related to product quality and production practices).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,ad7733ce-0975-4b47-8ca4-ed3896d2b92e,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG07_ANY_ALIGN_PCT,Fund SDG 07 Any Alignment (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned or Strongly Aligned with SDG 07 (Affordable and Clean Energy) based on the nature of their product and services (e.g. alternative energy) and their operational alignment to the goal (e.g. decarbonization targets, performance track record) and their involvement in controversies (e.g. controversies related to energy and climate change, restricted access, predatory practices, and product and service quality/safety by utilities).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,fa5e8b36-6e26-427d-9bed-f6f2f3a2f58c,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG11_ALIGN_PCT,Fund SDG 11 Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 11 (Sustainable Cities and Communities) based on the nature of their product and services (e.g. green buildings, affordable housing, clean transport) and their operational alignment to the goal (e.g. resource efficiency) and their involvement in controversies (e.g. controversies related to suppressed civil rights and access to basic needs such as housing).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,65774618-4798-4e70-a25e-ac7344b4bea2,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG07_ACHIEVE_SIGNAL,Fund SDG 07 Achievement Signal,The fund's level of alignment in the achievement of SDG 07 (Affordable and Clean Energy) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not Aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,89a3660c-7c06-4e80-aa40-225a6fa539b0,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG15_ANY_MISALIGN_PCT,Fund SDG 15 Any Misalignment (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 15 (Life on Land) based on the nature of their product and services and their operational alignment to the goal (e.g. large volumes of production-related waste) and their involvement in controversies (e.g. controversies related to pollution and adverse impact on land and communities).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,8c1a8dd2-97a3-40c7-a61c-29b0eff45985,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG03_ALIGN_PCT,Fund SDG 03 Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 03 (Good Health and Well-being) based on the nature of their product and services (e.g. major disease treatment and pollution control) and their operational alignment to the goal (e.g. controversies related to employee and consumer safety, and accessibility to healthcare products and services).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,218d3d4d-74ee-4f18-8a60-7a1cc1df8999,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_NUTRI_FOOD_INVOLV_PCT,Fund Nutrition Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from nutrition goods and services. Additionally, nutrition revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,94d62877-519b-4415-9acb-6bfe1a118223,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_ALT_ENERGY_INVOLV_PCT,Fund Alternative Energy Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from alternative energy goods and services. Additionally, alternative energy revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,a1eb39a5-47c4-4319-be23-3dd889d7c26b,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG02_ANY_MISALIGN_PCT,Fund SDG 02 Any Misalignment (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 02 (Zero Hunger) based on the nature of their product and services and their operational alignment to the goal (e.g. controversies related to product quality and production practices).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,5aa5ad0e-4aac-411e-8259-558450182961,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG10_ALIGN_PCT,Fund SDG 10 Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 10 (Reduced Inequalities) based on the nature of their product and services (e.g. education services, SME financing and connectivity) and their operational alignment to the goal (e.g. labor relations policies, support for union representation and workforce diversity) and their involvement in controversies (e.g. controversies related to restricted access to products and services, discrimination, or violation of labor or human rights).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,5f16efc4-a5d3-46c8-9ebb-106d74cb84ce,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_CLEAN_TECH_INVOLV_PCT,Fund Environmental Impact Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from environmental impact goods and services. Additionally, environmental impact revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,6f97d898-ce5a-4220-a8d7-58944f372f22,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SUSTAINABLE_IMPACT_PCT,Fund Revenue Exposure to Sustainable Impact Solutions (%),"A fund’s exposure to Sustainable Impact Solutions is the portfolio weighted average of each company’s percent of revenue generated by Sustainable Impact Solutions goods and services. Additionally, Sustainable Impact Solutions revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,f9d4bbb1-e5d1-49e9-a6ed-de8b39b25b91,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG09_ACHIEVE_SIGNAL,Fund SDG 09 Achievement Signal,"The fund's level of alignment in the achievement of SDG 09 (Industry, Innovation and Infrastructure) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not Aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.",,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,0b977356-f906-4f55-9add-ccd93dedd01d,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_ALT_ENERGY_PCT,Fund Revenue Exposure to Alternative Energy (%),"A fund’s exposure to Alternative Energy is the portfolio weighted average of each company’s percent of revenue generated by Alternative Energy goods and services. Additionally, Alternative Energy revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,5acdf679-023e-41b0-b1ae-a3a8cb1665cb,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG06_MISALIGN_PCT,Fund SDG 06 Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned with SDG 06 (Clean Water and Sanitation) based on the nature of their product and services and their operational alignment to the goal (e.g. involvement in water polluting operations or water-related controversies).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,0070f9e5-644e-4149-9a6b-f489f2355a7e,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG06_ANY_MISALIGN_PCT,Fund SDG 06 Any Misalignment (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 06 (Clean Water and Sanitation) based on the nature of their product and services and their operational alignment to the goal (e.g. involvement in water polluting operations or water-related controversies).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,e6954a3a-fd0e-47e9-8cc8-67c8bb506211,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG01_STRONG_MISALIGN_PCT,Fund SDG 01 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 01 (No Poverty) based on the nature of their product and services (e.g. predatory lending) and their operational alignment to the goal (e.g. controversies related to employment practices, human rights, or impact on communities or customers).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,8772d325-71d0-445e-a487-84bb070dc311,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG06_NEUTRAL_PCT,Fund SDG 06 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 06 (Clean Water and Sanitation) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,79746840-9212-4fdd-a514-4e1052188c4d,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG16_STRONG_MISALIGN_PCT,Fund SDG 16 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 16 (Peace, Justice and Strong Institutions) based on the nature of their product and services (e.g. nuclear weapons and firearms) and their operational alignment to the goal (e.g. significant vote against pay practices) and their involvement in controversies (e.g. controversies related to bribery, fraud, human rights violations or money laundering).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,2726541f-67d3-4bc3-83d1-21a9a34667fc,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG01_NEUTRAL_PCT,Fund SDG 01 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 01 (No Poverty) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,3c9cc847-3bfe-4b49-a6b7-d4853707075c,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
